Evaluate score: [0.7275461462827829, 0.38461539149284363]
y_sample, y_class, groundTruth_sample, groundTruth_class
5703, 5, 5591, 0
5783, 5, 6623, 0
5706, 5, 5580, 0
5823, 5, 6584, 0
5704, 5, 5551, 0
5824, 5, 6611, 0
5749, 5, 5603, 0
5821, 5, 7094, 0
5517, 1, 5374, 1
6066, 8, 6290, 1
5352, 1, 5562, 1
6021, 8, 6409, 1
5359, 1, 5564, 1
5986, 8, 6944, 1
5638, 1, 5616, 1
5891, 8, 6597, 1
5219, 10, 5383, 10
6252, 10, 6320, 10
5318, 11, 5463, 10
6253, 10, 6430, 10
5394, 10, 5627, 10
6331, 10, 6569, 10
5363, 11, 5514, 10
6200, 11, 7009, 10
5421, 11, 5488, 11
6233, 11, 6529, 11
5399, 11, 5483, 11
6462, 11, 6461, 11
5394, 11, 5508, 11
6275, 11, 6512, 11
5371, 10, 5456, 11
6215, 11, 6451, 11
4810, 5, 5538, 12
6112, 4, 6556, 12
5382, 24, 5513, 12
6383, 0, 6481, 12
5459, 0, 5529, 12
6184, 4, 6514, 12
5458, 5, 5569, 12
5959, 4, 6734, 12
5032, 15, 5512, 13
6203, 0, 6442, 13
4815, 0, 5630, 13
6187, 11, 6570, 13
4779, 0, 5399, 13
6308, 11, 6858, 13
5139, 0, 5535, 13
6213, 10, 6939, 13
5417, 14, 5539, 14
5789, 14, 6516, 14
5324, 14, 5572, 14
6155, 14, 6379, 14
5205, 14, 5412, 14
5787, 14, 6615, 14
4790, 14, 5534, 14
5616, 14, 6595, 14
4366, 22, 5602, 15
5939, 15, 6583, 15
4994, 14, 5444, 15
5962, 15, 6511, 15
5746, 14, 5551, 15
5882, 15, 6573, 15
5354, 14, 5457, 15
5981, 15, 6942, 15
5175, 24, 5384, 16
5795, 17, 6429, 16
5301, 24, 5388, 16
5993, 17, 6369, 16
5120, 25, 5552, 16
5659, 17, 6645, 16
5441, 17, 5591, 16
5626, 17, 6708, 16
4809, 22, 5367, 17
6045, 19, 6377, 17
4982, 24, 5425, 17
6195, 17, 6415, 17
5006, 25, 5581, 17
6028, 17, 6626, 17
5749, 18, 5424, 17
6143, 17, 6431, 17
5692, 5, 5495, 18
6186, 18, 6519, 18
5681, 5, 5468, 18
6273, 18, 6377, 18
5691, 5, 5474, 18
6593, 18, 6431, 18
5740, 5, 5665, 18
5606, 18, 6663, 18
4050, 25, 5609, 19
6504, 17, 6545, 19
3871, 18, 5628, 19
6344, 17, 6531, 19
5342, 19, 5517, 19
6543, 17, 6527, 19
5327, 8, 5664, 19
5900, 17, 6740, 19
4958, 2, 5602, 2
6052, 2, 6600, 2
5323, 15, 5416, 2
6054, 2, 6395, 2
5624, 15, 5513, 2
6098, 2, 6466, 2
5221, 2, 5490, 2
6015, 2, 6440, 2
5266, 20, 5446, 20
6107, 20, 6399, 20
5237, 20, 5517, 20
6127, 20, 6409, 20
5301, 20, 5490, 20
5817, 20, 6473, 20
5200, 20, 5417, 20
6053, 20, 6280, 20
5119, 17, 5528, 21
5976, 17, 6550, 21
5103, 24, 5404, 21
5929, 0, 6376, 21
5120, 16, 5459, 21
5921, 17, 6426, 21
5375, 16, 5433, 21
5902, 17, 6659, 21
4148, 22, 5400, 22
5703, 22, 6353, 22
4261, 22, 5401, 22
6028, 22, 6290, 22
4719, 22, 5519, 22
6084, 22, 6511, 22
4564, 22, 5445, 22
5680, 22, 6334, 22
5044, 23, 5564, 23
6291, 23, 6451, 23
4919, 23, 5453, 23
6227, 23, 6361, 23
4894, 23, 5524, 23
6245, 23, 6409, 23
5110, 23, 5546, 23
6146, 24, 6553, 23
4908, 24, 5441, 24
6033, 24, 6384, 24
5317, 24, 5631, 24
6459, 24, 6601, 24
4887, 24, 5474, 24
6162, 24, 6504, 24
5086, 23, 5552, 24
5870, 24, 7026, 24
5418, 25, 5521, 25
6335, 17, 6433, 25
5087, 19, 5479, 25
6355, 17, 6539, 25
4917, 25, 5398, 25
5716, 19, 6347, 25
5262, 0, 5479, 25
6103, 0, 6452, 25
5407, 6, 5412, 3
6045, 8, 6334, 3
5339, 8, 5536, 3
6345, 8, 6800, 3
5387, 8, 5403, 3
5978, 6, 6246, 3
5553, 5, 5625, 3
6478, 8, 6550, 3
5150, 4, 5382, 4
5922, 4, 6358, 4
5161, 4, 5475, 4
5959, 4, 6516, 4
5223, 4, 5427, 4
6212, 4, 6478, 4
5200, 4, 5489, 4
6115, 4, 6562, 4
4965, 5, 5553, 5
5745, 5, 6583, 5
5465, 5, 5422, 5
5749, 5, 6452, 5
5345, 5, 5539, 5
5745, 5, 6581, 5
5587, 2, 5658, 5
5740, 5, 6683, 5
5252, 2, 5601, 6
6105, 8, 6475, 6
5227, 5, 5529, 6
6028, 6, 6502, 6
5569, 8, 5486, 6
6305, 8, 6305, 6
5602, 8, 5508, 6
6071, 8, 6702, 6
5496, 7, 5376, 7
6049, 7, 6311, 7
5475, 7, 5484, 7
5948, 7, 6411, 7
5539, 7, 5555, 7
5955, 7, 6744, 7
5518, 7, 5452, 7
6029, 7, 6433, 7
5181, 5, 5566, 8
6100, 8, 6544, 8
5573, 8, 5498, 8
5911, 8, 6352, 8
5523, 5, 5643, 8
6079, 8, 6548, 8
5585, 5, 5557, 8
5884, 8, 6508, 8
4570, 22, 5539, 9
6447, 6, 6542, 9
4948, 24, 5453, 9
6818, 6, 6348, 9
4989, 6, 5446, 9
6594, 0, 6475, 9
5398, 2, 5654, 9
6379, 0, 6642, 9
Accuracy: 19.71, Detection Accuracy: 40.87, Classification Accuracy: 49.52
