Evaluate score: [0.8394742332972013, 0.9375]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5615, 0, ON, 5591, 0, ON
6405, 0, OFF, 6623, 0, OFF
5644, 0, ON, 5580, 0, ON
6400, 0, OFF, 6584, 0, OFF
5667, 0, ON, 5551, 0, ON
6416, 0, OFF, 6611, 0, OFF
5648, 0, ON, 5603, 0, ON
6384, 0, OFF, 7094, 0, OFF
5489, 1, ON, 5374, 1, ON
6303, 8, OFF, 6290, 1, OFF
5373, 1, ON, 5562, 1, ON
6341, 1, OFF, 6409, 1, OFF
5408, 1, ON, 5564, 1, ON
6362, 1, OFF, 6944, 1, OFF
5463, 1, ON, 5616, 1, ON
6314, 8, OFF, 6597, 1, OFF
5466, 0, ON, 5383, 10, ON
6493, 10, OFF, 6320, 10, OFF
5505, 0, ON, 5463, 10, ON
6501, 10, OFF, 6430, 10, OFF
5519, 0, ON, 5627, 10, ON
6489, 10, OFF, 6569, 10, OFF
5565, 0, ON, 5514, 10, ON
6482, 10, OFF, 7009, 10, OFF
5506, 0, ON, 5488, 11, ON
6563, 10, OFF, 6529, 11, OFF
5489, 0, ON, 5483, 11, ON
6519, 10, OFF, 6461, 11, OFF
5545, 0, ON, 5508, 11, ON
6569, 10, OFF, 6512, 11, OFF
5493, 0, ON, 5456, 11, ON
6565, 10, OFF, 6451, 11, OFF
5336, 0, ON, 5538, 12, ON
6222, 0, OFF, 6556, 12, OFF
5617, 3, ON, 5513, 12, ON
6176, 0, OFF, 6481, 12, OFF
5524, 0, ON, 5529, 12, ON
6250, 0, OFF, 6514, 12, OFF
5328, 5, ON, 5569, 12, ON
6215, 0, OFF, 6734, 12, OFF
5777, 13, ON, 5512, 13, ON
6418, 15, OFF, 6442, 13, OFF
5186, 18, ON, 5630, 13, ON
6471, 10, OFF, 6570, 13, OFF
5426, 13, ON, 5399, 13, ON
6327, 0, OFF, 6858, 13, OFF
5461, 0, ON, 5535, 13, ON
6303, 15, OFF, 6939, 13, OFF
5570, 18, ON, 5539, 14, ON
6514, 10, OFF, 6516, 14, OFF
5421, 18, ON, 5572, 14, ON
6461, 1, OFF, 6379, 14, OFF
5336, 21, ON, 5412, 14, ON
6451, 10, OFF, 6615, 14, OFF
5442, 22, ON, 5534, 14, ON
6385, 10, OFF, 6595, 14, OFF
5171, 0, ON, 5602, 15, ON
6375, 15, OFF, 6583, 15, OFF
5116, 0, ON, 5444, 15, ON
6551, 15, OFF, 6511, 15, OFF
5611, 0, ON, 5551, 15, ON
6333, 15, OFF, 6573, 15, OFF
5258, 0, ON, 5457, 15, ON
6294, 15, OFF, 6942, 15, OFF
5329, 21, ON, 5384, 16, ON
6445, 16, OFF, 6429, 16, OFF
5235, 21, ON, 5388, 16, ON
6527, 16, OFF, 6369, 16, OFF
