Evaluate score: [1.063476406610929, 0.7644230723381042]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5732, 18, ON, 5591, 0, ON
6533, 0, OFF, 6623, 0, OFF
5837, 0, ON, 5580, 0, ON
6608, 0, OFF, 6584, 0, OFF
5800, 18, ON, 5551, 0, ON
6565, 0, OFF, 6611, 0, OFF
5866, 0, ON, 5603, 0, ON
6529, 0, OFF, 7094, 0, OFF
5489, 1, ON, 5374, 1, ON
6508, 8, OFF, 6290, 1, OFF
5484, 18, ON, 5562, 1, ON
6577, 1, OFF, 6409, 1, OFF
5375, 1, ON, 5564, 1, ON
6654, 1, OFF, 6944, 1, OFF
5204, 18, ON, 5616, 1, ON
6571, 8, OFF, 6597, 1, OFF
5481, 10, ON, 5383, 10, ON
6395, 10, OFF, 6320, 10, OFF
5220, 10, ON, 5463, 10, ON
6586, 10, OFF, 6430, 10, OFF
5526, 10, ON, 5627, 10, ON
6700, 10, OFF, 6569, 10, OFF
5605, 10, ON, 5514, 10, ON
6515, 11, OFF, 7009, 10, OFF
5435, 11, ON, 5488, 11, ON
6780, 11, OFF, 6529, 11, OFF
5329, 11, ON, 5483, 11, ON
6698, 11, OFF, 6461, 11, OFF
5529, 11, ON, 5508, 11, ON
6721, 11, OFF, 6512, 11, OFF
5567, 11, ON, 5456, 11, ON
6552, 11, OFF, 6451, 11, OFF
6278, 13, ON, 5538, 12, ON
6785, 0, OFF, 6556, 12, OFF
6579, 0, ON, 5513, 12, ON
6698, 0, OFF, 6481, 12, OFF
5611, 0, ON, 5529, 12, ON
6736, 18, OFF, 6514, 12, OFF
5278, 18, ON, 5569, 12, ON
6810, 11, OFF, 6734, 12, OFF
5945, 13, ON, 5512, 13, ON
6593, 13, OFF, 6442, 13, OFF
3290, 18, ON, 5630, 13, ON
6574, 13, OFF, 6570, 13, OFF
5148, 13, ON, 5399, 13, ON
6595, 13, OFF, 6858, 13, OFF
5442, 13, ON, 5535, 13, ON
6571, 13, OFF, 6939, 13, OFF
6197, 14, ON, 5539, 14, ON
6431, 14, OFF, 6516, 14, OFF
6173, 14, ON, 5572, 14, ON
6476, 14, OFF, 6379, 14, OFF
5516, 14, ON, 5412, 14, ON
6447, 14, OFF, 6615, 14, OFF
6065, 14, ON, 5534, 14, ON
6561, 14, OFF, 6595, 14, OFF
3969, 18, ON, 5602, 15, ON
6472, 15, OFF, 6583, 15, OFF
5450, 15, ON, 5444, 15, ON
6485, 13, OFF, 6511, 15, OFF
5626, 15, ON, 5551, 15, ON
6528, 15, OFF, 6573, 15, OFF
6269, 15, ON, 5457, 15, ON
6222, 15, OFF, 6942, 15, OFF
5240, 16, ON, 5384, 16, ON
6494, 0, OFF, 6429, 16, OFF
5421, 3, ON, 5388, 16, ON
6332, 0, OFF, 6369, 16, OFF
5960, 17, ON, 5552, 16, ON
6701, 0, OFF, 6645, 16, OFF
5176, 17, ON, 5591, 16, ON
6799, 0, OFF, 6708, 16, OFF
4693, 13, ON, 5367, 17, ON
6328, 19, OFF, 6377, 17, OFF
5086, 16, ON, 5425, 17, ON
6484, 0, OFF, 6415, 17, OFF
5437, 17, ON, 5581, 17, ON
6513, 19, OFF, 6626, 17, OFF
5111, 16, ON, 5424, 17, ON
6562, 0, OFF, 6431, 17, OFF
5676, 0, ON, 5495, 18, ON
7639, 18, OFF, 6519, 18, OFF
5804, 18, ON, 5468, 18, ON
6497, 18, OFF, 6377, 18, OFF
