Evaluate score: [0.4368876012472006, 0.8413461446762085]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5609, 18, ON, 5591, 0, ON, 64
6548, 0, OFF, 6623, 0, OFF, 0
5601, 0, ON, 5580, 0, ON, 44
6567, 0, OFF, 6584, 0, OFF, 0
5551, 18, ON, 5551, 0, ON, 50
6500, 0, OFF, 6611, 0, OFF, 1
5541, 18, ON, 5603, 0, ON, 132
6565, 0, OFF, 7094, 0, OFF, 1
5502, 1, ON, 5374, 1, ON, 5
6292, 1, OFF, 6290, 1, OFF, 89
5387, 1, ON, 5562, 1, ON, 27
6378, 1, OFF, 6409, 1, OFF, 41
5453, 1, ON, 5564, 1, ON, 20
6581, 0, OFF, 6944, 1, OFF, 100
5440, 1, ON, 5616, 1, ON, 15
6482, 1, OFF, 6597, 1, OFF, 46
5486, 10, ON, 5383, 10, ON, 3
6351, 10, OFF, 6320, 10, OFF, 0
5651, 10, ON, 5463, 10, ON, 1
6537, 10, OFF, 6430, 10, OFF, 0
5605, 10, ON, 5627, 10, ON, 0
6593, 10, OFF, 6569, 10, OFF, 0
5523, 10, ON, 5514, 10, ON, 0
6618, 10, OFF, 7009, 10, OFF, 14
5641, 0, ON, 5488, 11, ON, 100
6682, 11, OFF, 6529, 11, OFF, 0
5462, 0, ON, 5483, 11, ON, 100
6603, 11, OFF, 6461, 11, OFF, 0
5504, 0, ON, 5508, 11, ON, 100
6659, 11, OFF, 6512, 11, OFF, 1
5506, 0, ON, 5456, 11, ON, 100
6663, 11, OFF, 6451, 11, OFF, 0
5395, 12, ON, 5538, 12, ON, 2
6552, 12, OFF, 6556, 12, OFF, 2
5272, 12, ON, 5513, 12, ON, 7
6566, 12, OFF, 6481, 12, OFF, 2
5730, 12, ON, 5529, 12, ON, 4
6562, 12, OFF, 6514, 12, OFF, 0
6165, 18, ON, 5569, 12, ON, 110
6855, 12, OFF, 6734, 12, OFF, 2
5383, 13, ON, 5512, 13, ON, 19
6566, 13, OFF, 6442, 13, OFF, 2
5789, 18, ON, 5630, 13, ON, 114
6628, 13, OFF, 6570, 13, OFF, 7
5455, 13, ON, 5399, 13, ON, 1
6669, 13, OFF, 6858, 13, OFF, 13
5731, 13, ON, 5535, 13, ON, 21
6544, 13, OFF, 6939, 13, OFF, 13
5414, 14, ON, 5539, 14, ON, 0
6405, 14, OFF, 6516, 14, OFF, 0
5683, 14, ON, 5572, 14, ON, 0
6360, 14, OFF, 6379, 14, OFF, 0
5610, 14, ON, 5412, 14, ON, 0
6487, 14, OFF, 6615, 14, OFF, 0
5219, 14, ON, 5534, 14, ON, 1
6394, 14, OFF, 6595, 14, OFF, 0
5410, 15, ON, 5602, 15, ON, 89
6444, 15, OFF, 6583, 15, OFF, 1
6149, 15, ON, 5444, 15, ON, 17
6414, 15, OFF, 6511, 15, OFF, 1
5922, 15, ON, 5551, 15, ON, 34
6455, 15, OFF, 6573, 15, OFF, 2
5289, 15, ON, 5457, 15, ON, 32
6360, 15, OFF, 6942, 15, OFF, 7
5077, 16, ON, 5384, 16, ON, 9
6298, 16, OFF, 6429, 16, OFF, 0
5341, 16, ON, 5388, 16, ON, 12
