Evaluate score: [0.6692153129440087, 0.0025054835714399815, 0.0002920994011219591, 0.6874354481697083, 0.0, 1.0, 0.7788461446762085]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
5781, 0, ON, 5591, 0, ON
5842, 0, OFF, 6623, 0, OFF
5860, 0, ON, 5580, 0, ON
5898, 0, OFF, 6584, 0, OFF
5836, 0, ON, 5551, 0, ON
5837, 0, OFF, 6611, 0, OFF
5756, 0, ON, 5603, 0, ON
5912, 0, OFF, 7094, 0, OFF
4829, 1, ON, 5374, 1, ON
6074, 8, OFF, 6290, 1, OFF
4602, 1, ON, 5562, 1, ON
6157, 8, OFF, 6409, 1, OFF
4747, 1, ON, 5564, 1, ON
6304, 8, OFF, 6944, 1, OFF
5001, 1, ON, 5616, 1, ON
6201, 8, OFF, 6597, 1, OFF
5210, 10, ON, 5383, 10, ON
6255, 11, OFF, 6320, 10, OFF
5570, 11, ON, 5463, 10, ON
6366, 11, OFF, 6430, 10, OFF
5863, 11, ON, 5627, 10, ON
6165, 11, OFF, 6569, 10, OFF
5739, 11, ON, 5514, 10, ON
5908, 11, OFF, 7009, 10, OFF
5326, 11, ON, 5488, 11, ON
6501, 11, OFF, 6529, 11, OFF
5586, 11, ON, 5483, 11, ON
6539, 11, OFF, 6461, 11, OFF
5668, 11, ON, 5508, 11, ON
6340, 11, OFF, 6512, 11, OFF
5755, 11, ON, 5456, 11, ON
6420, 11, OFF, 6451, 11, OFF
5590, 12, ON, 5538, 12, ON
6777, 12, OFF, 6556, 12, OFF
6152, 12, ON, 5513, 12, ON
6872, 12, OFF, 6481, 12, OFF
5494, 12, ON, 5529, 12, ON
6484, 12, OFF, 6514, 12, OFF
6304, 6, ON, 5569, 12, ON
7015, 12, OFF, 6734, 12, OFF
5375, 13, ON, 5512, 13, ON
6444, 11, OFF, 6442, 13, OFF
5068, 13, ON, 5630, 13, ON
6436, 11, OFF, 6570, 13, OFF
5451, 13, ON, 5399, 13, ON
6154, 11, OFF, 6858, 13, OFF
